dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
16.219091,342.54907,-259.20694,592231.6,-288075.4,6384.223,273.0839,194.96788,-564076860.0,-3056443.2,31.179466,-45.00115,-6822.381,-294.8615,79859.95,-2145.7576,342.3649,1627521200.0,-1820056700.0,51.246246,0.01360754,0.08389605,0.035902526,-157.62224,-593.2567,0.06983075,-111836.22,23.108683,1.6116005,4.576174,22.684864,19.965914,16.159266,0.104221635,0.008665775,0.40389496,26.010794,35.543926,-0.057294562
3.854994,-135.47942,-122.14204,-73539.36,-51817.168,147843.73,290.4125,-14.831659,57104624.0,1693282.9,-162.80075,-29.111547,-218.38528,451.71002,-39540.938,-5647.6826,-93.20244,1019060700.0,2103086200.0,33.46677,0.02945648,-0.12034899,0.026019238,176.04634,-312.23563,-0.34128374,-41794.32,10.710163,1.5039426,14.001683,9.096818,10.399913,22.991558,0.031080749,-0.041361485,-0.7903934,4.530578,11.280993,0.17353594
6.9998193,-424.03537,288.51733,-229678.86,-73710.11,74826.6,232.61954,119.30931,448851680.0,-236893.61,-159.64906,-13.870969,3628.724,-237.36874,38142.152,4487.7095,134.46672,1697445000.0,368111230.0,196.16507,0.11399066,-0.034042343,0.016483396,505.39575,249.77112,0.13795216,29985.164,4.8627324,0.40681094,5.7163043,-0.80752945,3.5947864,14.772066,0.082381725,-0.043259114,0.36169887,8.541441,-14.153498,0.037500564
2.7410219,191.43689,-79.75558,204455.55,-370275.2,-93345.91,72.75521,-19.573778,75489060.0,2719920.5,-66.1856,-55.60224,1492.5625,369.96402,26642.172,-39.507603,204.94672,1569661800.0,2600054000.0,150.8523,0.07061796,-0.026529318,0.0057721003,-26.38378,263.13223,-0.048378013,-33896.902,29.39395,0.63027626,25.21323,31.428625,16.083366,38.137264,0.16831902,0.20154186,0.1881819,39.535572,37.75624,0.06587064
4.1670933,175.14333,-10.172537,-46859.09,29901.75,121627.38,337.4793,-146.69853,-465568900.0,747803.06,-131.15263,22.73146,-3579.9421,124.84242,-29123.096,1262.1991,-83.68007,-113283064.0,1419878000.0,54.465485,-0.070411995,-0.019740464,0.0019421731,-53.63268,86.63883,-0.1494363,-28235.566,12.84263,2.3682039,23.540323,22.45754,25.127924,25.9433,0.23033732,0.060364377,-1.0410464,15.298683,36.830566,0.107662864
2.0396917,19.88418,-120.11294,564918.5,-29343.15,201960.03,77.758934,143.95653,76328550.0,-948256.3,-30.081535,-0.9030265,8002.333,7.262642,61948.562,5586.5327,174.6466,1254556200.0,1419631100.0,119.26133,0.08278828,-0.039781813,0.038140398,138.974,138.4183,-0.30819485,-26290.207,-1.1101441,1.6999102,0.94744194,17.925545,6.9393506,16.888952,0.37462983,0.09811765,0.81089854,13.2396965,10.049067,0.047243427
4.7610636,247.40863,82.74743,565020.9,-143063.55,-323794.8,49.575462,40.36961,-242164430.0,168556.2,5.4931045,-126.059166,-17859.486,798.98816,14821.735,-1188.4396,207.42311,3318886000.0,3119811300.0,103.15942,0.09860652,-0.0070254444,0.073353864,455.38956,6.4357147,0.38942876,-45871.695,6.162113,-0.03234357,10.795232,17.976683,5.4564743,-0.882894,0.19234753,0.22520961,-0.45854452,8.178646,2.963047,0.069898255
11.990352,25.687647,53.16677,405623.03,164859.39,-212419.22,91.44195,54.69086,-34376348.0,1330949.0,68.70506,32.750645,-8730.266,1554.2758,7600.4683,-1755.9648,213.21884,2615179300.0,492504740.0,23.011303,0.084289715,0.042129964,0.04542621,49.938213,115.066666,-0.25369227,-66562.58,-1.5226016,1.4604961,4.583905,6.9822593,1.5101906,-5.511537,0.16753484,0.27551487,-2.0921154,7.9780087,2.8045902,0.14672151
-7.0454016,123.42128,61.46906,95533.63,-200750.55,-27638.426,239.75768,179.31854,-14221707.0,2378837.2,-57.424156,58.264908,-1459.0651,705.3154,62816.43,966.24774,143.97098,3272142300.0,2347986700.0,230.41373,0.15154994,0.028561758,0.030488444,-67.94985,-33.69461,-0.21765476,11183.751,4.4685435,1.5354106,7.196699,3.5958555,0.3205475,17.501553,0.1397021,-0.036515135,0.5867802,0.59669054,4.9880657,0.09352956
2.5425808,199.08797,-113.25619,140349.4,169534.42,282503.7,374.20148,179.96693,220591840.0,2049088.1,-45.89402,58.04923,-565.8155,-79.079216,-50499.543,2364.8367,25.779041,455346750.0,202250700.0,162.81754,0.04808058,-0.0047938465,-0.0011619045,-72.79888,354.82025,-0.7201707,-34225.08,25.668568,2.196668,29.332132,-1.071435,9.884062,41.69389,0.17738931,-0.047569174,0.2070864,22.554369,29.925905,0.12965244
