attack_cat,dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
Analysis,0.814095,10,8,794,1178,20.882083,62,252,7026.207031,10131.49512,2,2,90.362667,95.126289,4922.148396,149.538375,255,2740680486,1667283298,255,0.310128,0.148208,0.16192,79,147,1,259,4,1,2,2,2,4,0,0,4,2,4,0
Analysis,8e-06,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,1,1,1,4,0,0,0,13,4,0
Analysis,9e-06,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,1,1,1,4,0,0,0,1,3,0
Analysis,0.487279,10,8,822,1156,34.887611,62,252,12149.09766,16614.71094,2,2,54.142111,56.72357,2674.888594,79.169039,255,405975108,3483908749,255,0.124855,0.065744,0.059111,82,145,1,171,6,1,3,3,3,6,0,0,9,3,6,0
Analysis,1e-06,2,0,200,0,1000000.003,254,0,800000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,3,2,2,6,0,0,0,3,4,0
Analysis,0.546218,10,8,822,1090,31.123106,62,252,10838.16406,13972.44336,2,2,60.690889,69.45843,3757.213803,141.363297,255,3150958609,2612199978,255,0.078757,0.04971,0.029047,82,136,1,241,3,1,1,1,1,2,0,0,4,2,2,0
Analysis,0.131168,4,6,172,1092,68.6143,62,252,7867.772949,55501.34375,0,1,70.988,91.323,71.390852,130.94843,255,4125223812,880007837,255,0.141751,0.061579,0.080172,43,182,1,132,11,1,8,8,8,11,0,0,16,8,11,0
Analysis,8e-06,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,2,1,1,4,0,0,0,1,3,0
Analysis,8e-06,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,9,2,4,3,3,10,0,0,0,4,9,0
Analysis,4e-06,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,2,2,4,0,0,0,2,4,0
Analysis,8e-06,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,8,2,6,6,6,8,0,0,0,23,8,0
Analysis,2.462813,12,10,880,1270,8.526835,62,252,2621.392822,3712.827637,2,2,223.892097,261.464891,15400.47262,365.462594,255,4294130034,52677933,255,0.256782,0.108858,0.147924,73,127,1,190,2,1,1,2,1,1,0,0,1,2,1,0
Analysis,9e-06,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,8,2,4,3,3,12,0,0,0,5,8,0
Analysis,4.578482,4,6,824,1296,1.965717,254,60,1079.833862,1887.088257,0,0,1526.160625,531.336812,2158.315,658.751688,0,0,0,0,0.0,0.0,0.0,206,216,0,0,1,0,1,1,1,1,0,0,0,1,1,0
Analysis,8e-06,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,2,2,2,6,0,0,0,2,6,0
Analysis,1.580196,10,10,812,1430,12.023825,62,252,3700.806641,6515.647461,2,2,175.577333,162.922219,11746.48737,249.824844,255,720141036,2591462858,255,0.195189,0.113268,0.081921,81,143,1,270,4,1,1,1,1,4,0,0,1,1,4,0
Analysis,1.9e-05,2,0,180,0,52631.58129,254,0,37894740.0,0.0,0,0,0.019,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,4,2,1,2,1,3,0,0,0,2,3,0
Analysis,1.055514,10,8,810,1248,16.105898,62,252,5525.270508,8276.536133,2,2,131.939244,144.281281,7258.004666,293.323688,255,182977066,205375427,255,0.149925,0.044812,0.105113,81,156,1,221,2,1,1,1,1,2,0,0,1,1,2,0
Analysis,5e-06,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,1,1,1,3,0,0,0,3,3,0
Analysis,1e-05,2,0,200,0,100000.0025,254,0,80000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,1,1,1,5,0,0,0,3,5,0
Analysis,9e-06,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,3,3,3,5,0,0,0,3,5,0
Analysis,3e-06,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,2,2,5,0,0,0,5,4,0
Analysis,0.506013,10,8,818,1280,33.595976,62,252,11651.875,17707.05664,2,2,56.223667,61.752855,2811.359925,75.736383,255,1362910992,896682442,255,0.105739,0.06077,0.044969,82,160,1,238,4,1,19,2,1,4,0,0,1,2,4,0
Analysis,9e-06,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,9,2,6,5,5,13,0,0,0,6,9,0
Analysis,0.551735,10,8,822,1086,30.811894,62,252,10729.78906,13789.22852,2,2,61.303889,66.64057,3338.381243,94.981508,255,1214674715,3915802396,255,0.127281,0.084614,0.042667,82,136,1,133,5,1,2,2,2,5,0,0,4,4,5,0
Analysis,9e-06,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,1,1,1,6,0,0,0,6,6,0
Analysis,9e-06,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,9,2,2,2,2,12,0,0,0,2,9,0
Analysis,5e-06,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,12,2,6,3,3,17,0,0,0,6,12,0
Analysis,8e-06,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,1,1,1,3,0,0,0,3,3,0
Analysis,8e-06,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,4,5,0
Analysis,8e-06,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0
Analysis,6e-06,2,0,200,0,166666.6608,254,0,133333328.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,9,2,1,1,1,13,0,0,0,1,9,0
Analysis,9e-06,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,2,2,2,3,0,0,0,4,3,0
Analysis,0.487279,10,8,822,1156,34.887611,62,252,12149.09766,16614.71094,2,2,54.142111,56.72357,2674.888594,79.169039,255,405975108,3483908749,255,0.124855,0.065744,0.059111,82,145,1,171,6,1,3,3,3,6,0,0,9,3,6,0
Analysis,4e-06,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,11,2,5,4,4,14,0,0,0,5,11,0
Analysis,4e-06,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,1,1,1,4,0,0,0,1,4,0
Analysis,0.673375,10,8,834,1100,25.245962,62,252,8922.219727,11440.87598,2,2,74.819444,81.144289,3692.447209,130.022844,255,2439620490,3832951011,255,0.132543,0.063642,0.068901,83,138,1,129,2,1,2,2,1,2,0,0,1,2,2,0
Analysis,2.456268,10,10,820,1190,7.735312,62,252,2403.646484,3488.218506,2,2,272.918667,257.334891,16382.48939,567.183188,255,1504187727,1945116338,255,0.284396,0.114436,0.16996,82,119,1,150,3,1,2,1,1,2,0,0,1,1,2,0
Analysis,8e-06,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,10,2,3,3,3,11,0,0,0,4,10,0
Analysis,4e-06,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,2,2,4,0,0,0,20,4,0
Analysis,0.964047,10,10,812,1142,19.708582,62,252,6066.094238,8530.704102,2,2,107.116333,95.973336,7171.80679,154.082875,255,1692783711,1759039922,255,0.117348,0.065469,0.051879,81,114,1,125,5,1,1,1,1,5,0,0,1,2,6,0
Analysis,0.814817,10,10,804,1272,23.318119,62,252,7108.344238,11241.78809,2,2,90.424889,77.680445,5703.988441,115.36275,255,3372452711,3397434180,255,0.162926,0.115684,0.047242,80,127,1,191,2,1,1,1,1,2,0,0,1,1,2,0
Analysis,8e-06,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,20,5,0
Analysis,9e-06,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,2,2,2,6,0,0,0,19,6,0
Analysis,12.853813,42,0,2184,0,3.189715,254,0,1326.921387,0.0,0,0,313.507625,0.0,340.910781,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,1,2,1,1,1,1,0,0,0,4,1,0
Analysis,50.423431,20,16,1652,2398,0.694122,62,252,249.090546,356.818237,4,6,2653.864737,3358.657,355834.9024,12247.645,255,3062747204,1718237477,255,0.069013,0.0429,0.026113,83,150,1,249,5,1,4,4,4,5,0,0,12,4,5,0
Analysis,2.551031,10,10,860,1202,7.447969,62,252,2427.253906,3393.137695,2,2,283.447889,265.961,17381.01977,448.256406,255,3944998121,1116063436,255,0.202403,0.125779,0.076624,86,120,1,134,1,1,2,1,1,1,0,0,1,1,1,0
Analysis,0.422347,10,8,800,1064,40.251262,62,252,13638.07422,17634.78711,2,2,6710.4128,8386.2755,666787.9454,22051.988,255,4125223812,3075011977,255,0.141751,0.061579,0.080172,80,133,1,132,7,1,4,4,4,7,0,0,16,4,7,0
Analysis,4e-06,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,9,2,3,3,3,10,0,0,0,9,9,0
Analysis,0.85453,10,8,854,1228,19.893977,62,252,7199.279297,10064.01172,2,2,94.947778,102.689,4604.816748,130.882172,255,2225541928,740262202,255,0.20133,0.134993,0.066337,85,154,1,192,4,1,3,3,1,4,0,0,1,3,4,0
Analysis,9.455081,82,0,5248,0,8.566822,254,0,4386.212891,0.0,0,0,116.729398,0.0,160.583438,0.0,0,0,0,0,0.0,0.0,0.0,64,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0
Analysis,9e-06,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,8,2,3,3,3,9,0,0,0,5,8,0
Analysis,5e-06,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,2,2,4,0,0,0,3,4,0
Analysis,3e-06,2,0,180,0,333333.3215,254,0,239999984.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,10,2,9,9,9,10,0,0,0,9,10,0
Analysis,1.6215,10,10,806,1162,11.717545,62,252,3581.868652,5160.653809,2,2,180.105111,167.827109,12615.91593,263.421531,255,867814770,1300804521,255,0.242801,0.111051,0.13175,81,116,1,138,5,1,6,5,5,5,0,0,25,6,6,0
