class,n_eval,zspace_nn_median,zspace_nn_p90
Analysis,2000,297.3504638671875,298.5568389892578
Backdoor,1746,297.23822021484375,298.47532653808594
DoS,3000,297.2827453613281,298.7706634521484
Generic,3000,296.26185607910156,296.97625732421875
Normal,3000,298.49359130859375,299.46861877441404
Exploits,3000,298.3009033203125,299.3348846435547
Worms,130,298.50787353515625,299.3773559570312
Reconnaissance,3000,297.7546844482422,298.5413879394531
Fuzzers,3000,297.8265686035156,298.70794982910155
Shellcode,1133,297.7843322753906,298.44244384765625
