class,n_eval,median_real2real,median_real2synth,relative_coverage,zspace_nn_median,zspace_nn_p90
Analysis,2000,2.4628961086273193,297.3504638671875,0.008282805671785935,297.3504638671875,298.5568389892578
Backdoor,1746,2.6271156072616577,297.23822021484375,0.008838417903871106,297.23822021484375,298.47532653808594
DoS,3000,2.632488489151001,297.2827453613281,0.008855167446571378,297.2827453613281,298.7706634521484
Generic,3000,2.6335291862487793,296.26185607910156,0.008889194245598833,296.26185607910156,296.97625732421875
Normal,3000,2.6633241176605225,298.49359130859375,0.008922550417194985,298.49359130859375,299.46861877441404
Exploits,3000,2.6868408918380737,298.3009033203125,0.009007149699955723,298.3009033203125,299.3348846435547
Worms,130,2.6983225345611572,298.50787353515625,0.009039368049510985,298.50787353515625,299.3773559570312
Reconnaissance,3000,2.732604503631592,297.7546844482422,0.009177368640548095,297.7546844482422,298.5413879394531
Fuzzers,3000,2.78474223613739,297.8265686035156,0.00935021428475914,297.8265686035156,298.70794982910155
Shellcode,1133,2.9161312580108643,297.7843322753906,0.009792762553115217,297.7843322753906,298.44244384765625
