dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
-717.7805,-757.8552,-1341.9623,-2195.8733,-1325.2482,876.764,967.1518,-1950.274,-203.52739,-4731.1807,-1430.1437,-235.748,-1015.8175,-4625.0366,-3934.7437,-5168.094,-896.47186,-1660.3722,-1602.9608,-1792.8009,-4735.93,-4867.7876,-4825.3013,-2761.8416,-1728.0958,-657.1568,-956.8362,5385.5776,1576.1489,5879.294,5426.411,4786.2734,5124.633,972.81744,-620.0443,376.7831,5751.945,5218.225,-1854.9965
-1149.0663,-1033.8173,-1826.9543,1289.9666,-2096.3477,2278.8926,2296.311,-2238.25,4194.5073,-5937.355,-1616.7655,-1106.5857,-2662.0686,-5450.065,-4898.807,-5441.365,-1545.7809,-2302.3372,-1203.8073,-1664.7338,-5065.498,-5115.967,-5157.523,2861.4485,-2827.9885,-565.44147,-2218.7297,-3868.0933,1965.6731,-5694.487,-4844.1226,-5146.2485,-3485.6562,408.08835,-4049.238,801.77356,-4834.8057,-3796.3176,-2977.436
4911.0283,1435.5206,1578.7632,1252.0184,1781.2268,-3760.3743,-1775.5103,73.612076,-3507.8606,-338.14374,-1066.5497,1456.146,3016.0981,2832.9917,6424.797,2460.6086,-430.07523,-583.0219,-325.4645,-1431.1184,-187.44046,198.32892,407.47165,-543.252,1590.6458,10690.149,8252.307,-5806.7935,1344.7434,36.36629,-244.16524,-199.36357,-3516.5425,6318.5425,7064.2817,10007.275,-982.44025,-4469.6216,1854.4005
1511.1649,-156.27808,531.98145,-124.52074,1363.281,-1500.1301,-1064.8893,-494.50845,-1084.0099,60.00987,-1635.4117,474.99704,1353.2332,660.3942,2553.198,1432.0735,-229.61777,-536.5859,-285.8748,-572.99,-634.79834,-454.60413,-126.09584,609.0958,1849.6859,5522.9854,6135.3813,-1682.5731,453.6081,492.82922,271.84033,210.53221,-1155.286,637.5906,777.871,5687.734,-186.71231,-1306.0626,1371.8834
5917.6475,3443.3562,1112.5988,3671.6514,490.41544,-3238.9744,1530.7,269.34485,-2223.412,-1746.8129,2330.2976,574.17865,2403.03,2276.56,6695.4277,-477.61755,-841.6705,-970.51044,-595.3699,-1047.6956,304.81223,338.60446,932.77637,2594.947,-1100.4575,-2340.303,-2755.6042,-2952.6396,2667.6873,-1553.1713,-203.94382,1233.2915,-1973.5885,306.62585,102.39267,-3249.9404,-808.15326,-3031.4333,1643.1118
-300.49442,2740.525,2850.886,1241.6156,2907.679,271.5327,-2439.4067,-1230.8038,750.15466,5102.442,1554.4904,2777.2515,-1010.5465,1675.9746,-4998.503,-1540.0293,171.29558,272.10626,349.67813,-155.7948,-511.375,-621.07666,-414.83392,-1713.7009,2486.577,-745.7085,-1856.8137,1142.2928,-1966.0656,862.0664,-659.80133,-1005.2754,-759.9806,-1679.1025,250.46751,-1523.7877,977.5063,1371.0677,676.78015
5015.095,4078.4111,1058.7822,3064.703,1978.337,-6248.482,-4480.3506,-1530.1173,-3324.8445,5124.039,-7280.3657,-4459.675,5644.8784,8225.739,21807.053,18599.135,-6556.1626,-6701.766,-6760.5635,-6292.939,-23403.668,-25036.084,-24159.0,6711.193,3140.0083,1522.3729,-314.67957,-180.72188,-4560.2524,3180.0903,-2640.4614,-2258.087,-744.4986,-469.08713,-2692.0107,1629.5756,1754.4937,2816.43,797.5043
-36763.555,-13770.847,-1411.0028,-12213.909,-3160.291,-30014.113,-14818.411,-5607.8457,-29321.088,-11437.714,-3211.6938,-3934.566,10971.991,-11066.068,13909.6875,-10391.925,-5170.0273,-5287.586,-4759.3535,-4150.2812,-11126.003,-12585.337,-12741.61,-9884.279,-2124.6602,1226.2621,-1162.0361,-2305.8015,2845.2825,816.81055,985.819,1698.4939,-958.2795,-1023.25275,-1020.5365,-194.79279,-1501.3262,-2380.889,10751.107
-2638.553,-868.7336,-2569.2605,-4056.6802,-2506.9153,2935.7798,1819.442,-3405.537,874.12823,-8397.078,-3288.409,-1007.82416,-3117.0693,-8296.148,-7078.852,-9244.579,-1758.0388,-2503.4417,-2883.419,-3063.7412,-8277.864,-8578.779,-8775.171,-5011.745,-3166.0637,-1197.5895,-325.6385,10333.773,2280.7551,11827.285,10777.273,9250.815,9910.696,-2238.6165,1020.5728,-96.87316,11552.469,10296.665,650.4259
9077.7705,2781.5603,4238.0527,1647.235,6718.273,-6145.0254,-5089.843,-2944.158,-4780.8115,-570.66974,-5146.797,3211.189,5564.363,2940.8809,12818.461,7969.568,-1838.5048,-2257.1548,-1650.4412,-3676.1355,-4391.2646,-3419.0334,-2524.1863,1037.5243,7272.0957,19316.793,24096.893,-6929.5547,564.2648,2402.6362,954.1757,393.2257,-3601.816,2548.5596,4584.3857,19062.42,-1308.3385,-4708.379,6304.536
-10732.492,-5395.893,-5134.4297,-6241.616,-3603.4626,-24778.912,-9440.079,-6684.713,-26849.39,-13759.888,-4966.0503,-3066.3184,19082.814,-11578.741,41751.203,-15093.066,-3808.886,-7289.8076,-4672.9683,-3403.8408,-14540.039,-14509.402,-14609.405,-9788.575,-620.74536,750.3338,-621.6665,-3682.346,6927.4995,947.41656,-286.4872,2218.5012,-1998.8441,-152.72205,-1477.5297,-296.67636,-698.79156,-3028.858,10586.904
