class,n_eval,zspace_nn_median,zspace_nn_p90
Analysis,2000,1111.0392456054688,1111.96298828125
Backdoor,1746,1111.1248168945312,1111.990478515625
DoS,3000,1111.0962524414062,1111.9830322265625
Generic,3000,1111.5122680664062,1112.19169921875
Normal,3000,1109.0340576171875,1111.0506225585937
Exploits,3000,1108.391845703125,1111.7387084960938
Reconnaissance,3000,1109.8255004882812,1111.7475708007812
Worms,130,1107.5878295898438,1110.7362670898438
Fuzzers,3000,1107.9844360351562,1111.7035278320313
Shellcode,1133,1109.8172607421875,1111.6724609375
