class,n_eval,zspace_nn_median,zspace_nn_p90
Generic,3000,1.4186270236968994,1.5725468397140503
Analysis,2000,1.3579069375991821,2.990241408348084
Backdoor,1746,1.3520108461380005,2.0742369890213013
DoS,3000,1.3472216725349426,2.288427662849426
Reconnaissance,3000,1.6333556175231934,2.075341820716858
Shellcode,1133,1.6334060430526733,2.014446830749512
Exploits,3000,1.9187985062599182,2.7290086269378664
Worms,130,2.0679030418395996,4.044316148757935
Normal,3000,1.8749465942382812,2.6791272163391113
Fuzzers,3000,1.7756187319755554,2.638769316673278
