class,n_eval,median_real2real,median_real2synth,relative_coverage,zspace_nn_median,zspace_nn_p90
Generic,3000,0.0,1.4186270236968994,0.0,1.4186270236968994,1.5725468397140503
Analysis,2000,4.214684778958144e-08,1.3579069375991821,3.1038097400178444e-08,1.3579069375991821,2.990241408348084
Backdoor,1746,4.214684778958144e-08,1.3520108461380005,3.117345390384501e-08,1.3520108461380005,2.0742369890213013
DoS,3000,4.214684778958144e-08,1.3472216725349426,3.1284270917552573e-08,1.3472216725349426,2.288427662849426
Reconnaissance,3000,0.17948726564645767,1.6333556175231934,0.10988866338772608,1.6333556175231934,2.075341820716858
Shellcode,1133,0.2668381929397583,1.6334060430526733,0.16336304991321343,1.6334060430526733,2.014446830749512
Exploits,3000,0.41313743591308594,1.9187985062599182,0.2153104844334931,1.9187985062599182,2.7290086269378664
Worms,130,0.5354354381561279,2.0679030418395996,0.25892676171113244,2.0679030418395996,4.044316148757935
Normal,3000,0.4897218197584152,1.8749465942382812,0.2611924101002836,1.8749465942382812,2.6791272163391113
Fuzzers,3000,0.4861403554677963,1.7756187319755554,0.27378645354057285,1.7756187319755554,2.638769316673278
